file,path,characters,words_approx,tokens,exceeds_2048,exceeds_safe_limit
page_0001.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0001.md,161,24,58,False,False
page_0002.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0002.md,742,106,232,False,False
page_0003.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0003.md,310,39,108,False,False
page_0004.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0004.md,37,4,13,False,False
page_0009.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0009.md,100,16,41,False,False
page_0010.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0010.md,61,7,14,False,False
page_0012.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0012.md,286,37,77,False,False
page_0014.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0014.md,109,15,28,False,False
page_0015.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0015.md,3140,453,840,False,False
page_0016.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0016.md,3132,409,802,False,False
page_0017.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0017.md,2673,374,894,False,False
page_0018.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0018.md,2989,433,722,False,False
page_0019.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0019.md,3977,583,1086,False,False
page_0020.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0020.md,2882,425,859,False,False
page_0021.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0021.md,2758,387,775,False,False
page_0022.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0022.md,3440,469,935,False,False
page_0023.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0023.md,55,7,20,False,False
page_0024.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0024.md,342,44,117,False,False
page_0025.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0025.md,991,135,295,False,False
page_0026.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0026.md,1105,153,270,False,False
page_0027.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0027.md,1945,274,467,False,False
page_0028.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0028.md,3204,419,927,False,False
page_0029.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0029.md,1861,269,497,False,False
page_0030.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0030.md,2879,404,766,False,False
page_0031.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0031.md,3717,536,956,False,False
page_0032.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0032.md,2969,406,789,False,False
page_0033.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0033.md,3442,475,866,False,False
page_0034.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0034.md,2760,372,760,False,False
page_0035.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0035.md,3365,487,1000,False,False
page_0036.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0036.md,2214,325,600,False,False
page_0037.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0037.md,3654,533,946,False,False
page_0038.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0038.md,3385,510,925,False,False
page_0039.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0039.md,3777,557,1003,False,False
page_0040.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0040.md,3031,458,810,False,False
page_0041.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0041.md,2947,435,792,False,False
page_0042.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0042.md,4101,607,1078,False,False
page_0043.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0043.md,3068,468,842,False,False
page_0044.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0044.md,3521,515,910,False,False
page_0045.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0045.md,3521,527,928,False,False
page_0046.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0046.md,2932,420,835,False,False
page_0047.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0047.md,3106,477,852,False,False
page_0048.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0048.md,3371,496,968,False,False
page_0049.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0049.md,3405,523,966,False,False
page_0050.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0050.md,3340,521,1000,False,False
page_0051.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0051.md,808,119,226,False,False
page_0052.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0052.md,2725,389,693,False,False
page_0053.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0053.md,3312,445,918,False,False
page_0054.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0054.md,3439,496,1001,False,False
page_0055.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0055.md,3346,484,927,False,False
page_0056.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0056.md,3430,486,1033,False,False
page_0057.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0057.md,4584,681,1287,False,False
page_0058.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0058.md,3745,547,985,False,False
page_0059.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0059.md,3202,467,885,False,False
page_0060.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0060.md,3300,477,849,False,False
page_0061.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0061.md,3120,443,854,False,False
page_0062.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0062.md,3908,552,1133,False,False
page_0063.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0063.md,3026,425,879,False,False
page_0064.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0064.md,3582,522,933,False,False
page_0065.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0065.md,3473,481,879,False,False
page_0066.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0066.md,3801,518,1035,False,False
page_0067.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0067.md,4195,601,1110,False,False
page_0068.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0068.md,3544,488,946,False,False
page_0069.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0069.md,692,92,201,False,False
page_0070.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0070.md,2778,429,772,False,False
page_0071.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0071.md,3641,537,983,False,False
page_0072.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0072.md,3371,462,885,False,False
page_0073.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0073.md,3160,445,803,False,False
page_0074.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0074.md,3499,514,865,False,False
page_0075.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0075.md,1537,228,466,False,False
page_0076.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0076.md,2469,343,681,False,False
page_0077.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0077.md,1423,199,364,False,False
page_0078.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0078.md,2831,403,810,False,False
page_0079.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0079.md,2921,440,807,False,False
page_0080.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0080.md,3146,445,810,False,False
page_0081.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0081.md,3386,521,866,False,False
page_0082.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0082.md,3931,541,1061,False,False
page_0083.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0083.md,3437,498,907,False,False
page_0084.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0084.md,3358,514,864,False,False
page_0085.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0085.md,3261,472,919,False,False
page_0086.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0086.md,4210,621,1165,False,False
page_0087.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0087.md,3472,519,896,False,False
page_0088.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0088.md,3435,517,931,False,False
page_0089.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0089.md,3897,593,1083,False,False
page_0090.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0090.md,3590,539,941,False,False
page_0091.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0091.md,2258,315,654,False,False
page_0092.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0092.md,1211,190,297,False,False
